1.698723798551731079e+02,1.607049022872097908e+02,1.699736309925123123e+02,2.043184155262147499e+02,2.137625164347454074e+02,2.209711938413185521e+02,2.315978997243431934e+02,2.484441974159543918e+02,2.504629617230327199e+02,2.517410336299463722e+02
1.711236516181810714e+02,1.617303990357728196e+02,1.711217837704730869e+02,2.060075418151702706e+02,2.154615066520255766e+02,2.227216732619965569e+02,2.335014339797159835e+02,2.505465207509220136e+02,2.525616628274179902e+02,2.538672335162444540e+02
1.718062730437882522e+02,1.621554085056440897e+02,1.715983393379302413e+02,2.066904348560331073e+02,2.161676463479042525e+02,2.234600348546233590e+02,2.343339490165186021e+02,2.515499713298823110e+02,2.535688204634777208e+02,2.548734396544115555e+02
1.742515763123299166e+02,1.635797555191669517e+02,1.731484057521879834e+02,2.094038773248719281e+02,2.185471613705465757e+02,2.259310371993001070e+02,2.372214948678691826e+02,2.551990693924281288e+02,2.572279554906852468e+02,2.584363067242352372e+02
1.765740633284964076e+02,1.653571431801596816e+02,1.753769599475554060e+02,2.128281890302438057e+02,2.210544928742592390e+02,2.285341035816775843e+02,2.399457446298553975e+02,2.587120658779991231e+02,2.606951835082156776e+02,2.617023310695278724e+02
1.789952399706702693e+02,1.672976121230827005e+02,1.779519125776982662e+02,2.155075245822232546e+02,2.229707227828252201e+02,2.304477092277897725e+02,2.418381093956712107e+02,2.603996609426849318e+02,2.623201365445801798e+02,2.631911119163315220e+02
1.679206502587245495e+02,1.531468833050679450e+02,1.613094939588731620e+02,1.807592469694464796e+02,1.863752732021806935e+02,1.931127252178295066e+02,2.083238492171512632e+02,2.497041035120555534e+02,2.529554696493702863e+02,2.544569837632856206e+02
1.404385884117997421e+02,1.340961599889134277e+02,1.471198063222750250e+02,1.680519464905615905e+02,1.753126325101778207e+02,1.831720156730302449e+02,1.959685908433841064e+02,2.693862115531333075e+02,2.730363402377037119e+02,2.737423775013199929e+02
1.110675409787334331e+02,1.101530201761786287e+02,1.439850968662933326e+02,2.216526926959310799e+02,2.264883019133272910e+02,2.289147675384036233e+02,2.384969891894969578e+02,2.710898895662078303e+02,2.796204974688560583e+02,2.793806608815032746e+02
1.318476190476190624e+01,1.633930735930735878e+01,4.259106304542757471e+01,8.880017853052177657e+01,1.941227383725427842e+02,2.120915364278137076e+02,2.062638079164736666e+02,2.188613372854737804e+02,2.221633106695709330e+02,2.213514779039076075e+02
